LG_ST_Code,State,LG_DT_Code,District,Pincode,RegistrationDate,EnterpriseName,CommunicationAddress,Activities
24,GUJARAT,453,NAVSARI,396463,6/10/2025,RAEEN EHESAN TRADERS,"2352, JALARAM SOCIETY, SHALU MOTORS, 2352, 0, NAVSARI","[{""NIC5DigitId"":""47990"",""Description"":""Other retail sale not in stores, stalls or markets""}]"
24,GUJARAT,453,NAVSARI,396445,6/10/2025,SANDIP SUPER MARKET,"HOUSE NO 391, HANUMAN NAGAR, HANUMAN NAGAR, HOUSE NO 391, HOUSE NO 391, Navsari","[{""NIC5DigitId"":""96098"",""Description"":""General household maintenance activities like grooming of the floor, dusting, cleaning of utensils etc.""}]"
24,GUJARAT,453,NAVSARI,396521,6/10/2025,AKSHAT EXPORTS AND SUPPLY CHAIN SOLUTIONS (OPC) PRIVATE LIMITED,"2646, RAM NAGAR SOC, Samroli, 2646, BILIMORA, Chikhli","[{""NIC5DigitId"":""52101"",""Description"":""Warehousing of refrigerated (cold storage)""},{""NIC5DigitId"":""46301"",""Description"":""Wholesale of fruits & vegetables""}]"
24,GUJARAT,453,NAVSARI,396445,7/10/2025,SAHAJ IMITATION JEWELLERY,"1/B, VANGANGA SOCIETY, OPP. SAGUNA NAGAR GATE, 1/B, ., NAVSARI","[{""NIC5DigitId"":""47912"",""Description"":""Retail sale via e-commerce""}]"
24,GUJARAT,453,NAVSARI,396580,6/10/2025,FARMER,"AA, TANU PADA, TANU PADA, AA, AA, LIMZAR","[{""NIC5DigitId"":""96098"",""Description"":""General household maintenance activities like grooming of the floor, dusting, cleaning of utensils etc.""}]"
24,GUJARAT,453,NAVSARI,396445,6/10/2025,KINJAL CLINIC,"19, shivshakti so, shantadevi road, 19, 2, navsari","[{""NIC5DigitId"":""86201"",""Description"":""Medical practice activities""}]"
24,GUJARAT,453,NAVSARI,396445,6/10/2025,NARENDRABHAI KANTILAL OD,"1-46, bapunagar, junathana road, 1-46, navsari, navsari","[{""NIC5DigitId"":""96098"",""Description"":""General household maintenance activities like grooming of the floor, dusting, cleaning of utensils etc.""}]"
24,GUJARAT,453,NAVSARI,396445,26/10/2025,PRAJAPATI FURNITURE MART,"5/294, KUMBHARWAD, NEAR KISHOR NIVAS, 5/294, NAVSARI, NAVSARI","[{""NIC5DigitId"":""31001"",""Description"":""Manufacture of furniture made of wood""}]"
24,GUJARAT,453,NAVSARI,396350,26/10/2025,Sai Mehar & Co,"11, Kameshwar Park, Navsari - Gandevi Road, 11, 11, Navsari","[{""NIC5DigitId"":""46499"",""Description"":""Wholesale of other households goods, n.e.c. [Includes wholesale of household equipment and appliances, n.e.c; photographic equipment, games, toys and sports goods (also includes bicycles, cycle rickshaw, tonga & other non-mechanised vehicles); leather goods and travel accessories; cleaning materials etc.]""},{""NIC5DigitId"":""46492"",""Description"":""Wholesale of metal, porcelain and glass utensils; crockery and chinaware""}]"
24,GUJARAT,453,NAVSARI,396424,30/10/2025,TRISHIKA SPERS & SERVICE,"FIRST FLOOR, JALARAM SHOPPING CENTER, GRID ROAD, FIRST FLOOR, NEAR SWAMINARAYAN MANDIR, NAVSARI","[{""NIC5DigitId"":""46909"",""Description"":""Other non-specialised wholesale trade n.e.c.""},{""NIC5DigitId"":""47190"",""Description"":""Other retail sale in non-specialized stores""}]"
24,GUJARAT,453,NAVSARI,396436,30/10/2025,KAMALABEN LAKSHMANDAS VAISHNAV,"Ubharat, Kamalaben laxmandas vaishnav, Maroli road, Ubharat, Jalalpore, Navsari","[{""NIC5DigitId"":""47190"",""Description"":""Other retail sale in non-specialized stores""}]"
24,GUJARAT,453,NAVSARI,396360,30/10/2025,S.H.Q  AUTO  TRAVELS,"1967, GHANCHIWAD, GANDEVI, 1967, GANDEVI, NAVSARI","[{""NIC5DigitId"":""52291"",""Description"":""Activities of travel agents and tour operators""}]"
24,GUJARAT,453,NAVSARI,396321,30/10/2025,surekha tailor,"629, TALAVDI FALIYA, behind b d b chal, 629, ORIYA MORA, bilimora","[{""NIC5DigitId"":""96010"",""Description"":""Washing and (dry-) cleaning of textile and fur products""}]"
24,GUJARAT,453,NAVSARI,396580,24/10/2025,FARMER,"AA, BAJAR FALIYU, BAJAR FALIYU, AA, AA, KHAMBHLA","[{""NIC5DigitId"":""47300"",""Description"":""Retail sale of automotive fuel in specialized stores [includes the activity of petrol filling stations.""}]"
24,GUJARAT,453,NAVSARI,396450,28/10/2025,RAJENDRA ASHOK PATIL,"ALKAPURI, GALI NO 1, VIJALPORE, ALKAPURI, NAVSARI, NAVSARI","[{""NIC5DigitId"":""43211"",""Description"":""Installation of electrical wiring and fittings""}]"
24,GUJARAT,453,NAVSARI,396445,28/10/2025,PINKY GIRISHBHAI SOLANKI,"00, SAURASHTRA SOCIETY, STATION ROAD, 00, 0, NAVSARI","[{""NIC5DigitId"":""74209"",""Description"":""Other photographic activities""},{""NIC5DigitId"":""96020"",""Description"":""Hairdressing and other beauty treatment""}]"
24,GUJARAT,453,NAVSARI,396421,28/10/2025,CHIRAG VEGITABLES,"0, KIRAN NAGAR SOCIETY, GAURI SHANKAR MOHALLO, 0, JALALPORE, NAVSARI","[{""NIC5DigitId"":""47212"",""Description"":""Retail sale of fresh or preserved fruit and vegetables""}]"
24,GUJARAT,453,NAVSARI,396445,28/10/2025,STAR ONE,"B-104, LEAK VIEW APP., NEAR BANK OF BARODA, B-104, -, NAVSARI","[{""NIC5DigitId"":""47213"",""Description"":""Retail sale of meat, meat products, poultry products, fish, other seafood and products thereof""}]"
24,GUJARAT,453,NAVSARI,396321,29/10/2025,MAA ANNPURNA,"2, BILINAK CHAR RASTA, M.G.ROAD, 2, 7, BILIMORA","[{""NIC5DigitId"":""95221"",""Description"":""Repair and servicing of household appliances ( refrigerators, stoves, washing machines, clothes dryers, room air conditioners, etc. )""}]"
24,GUJARAT,453,NAVSARI,396040,29/10/2025,JITENDRABHAI  DABHADIYA,"241, NAYAK FALIYA, CHIKHLI, 241, TORANVERA, NAVSARI","[{""NIC5DigitId"":""79110"",""Description"":""Travel agency activities""}]"
